binary_id,label,cwe_id
BIN_1001269,1,CWE-122
BIN_1003036,1,CWE-121
BIN_1005429,0,
BIN_1005734,0,
BIN_1006899,1,CWE-590
BIN_1009217,1,CWE-197
BIN_1011831,0,
BIN_1012577,0,
BIN_1012998,0,
BIN_1013312,0,
BIN_1014718,1,CWE-122
BIN_1015723,1,CWE-122
BIN_1016165,0,
BIN_1016654,0,
BIN_1017409,0,
BIN_1019417,0,
BIN_1019511,0,
BIN_1019610,0,
BIN_1020865,1,CWE-126
BIN_1021164,1,CWE-253
BIN_1022516,0,
BIN_1022986,0,
BIN_1023895,1,CWE-415
BIN_1024017,0,
BIN_1024189,1,CWE-121
BIN_1026686,1,CWE-121
BIN_1027553,0,
BIN_1027831,1,CWE-121
BIN_1028430,1,CWE-590
BIN_1029330,1,CWE-690
BIN_1031472,1,CWE-680
BIN_1031876,1,CWE-121
BIN_1032012,0,
BIN_1034916,1,CWE-121
BIN_1035625,1,CWE-135
BIN_1036634,0,
BIN_1036636,0,
BIN_1036975,1,CWE-758
BIN_1037216,1,CWE-690
BIN_1038175,0,
BIN_1038778,0,
BIN_1039973,0,
BIN_1041065,1,CWE-121
BIN_1041088,1,CWE-036
BIN_1042834,0,
BIN_1043309,1,CWE-036
BIN_1043348,1,CWE-457
BIN_1046795,1,CWE-194
BIN_1046849,0,
BIN_1047207,0,
BIN_1048036,0,
BIN_1051226,0,
BIN_1051233,0,
BIN_1051258,1,CWE-121
BIN_1052196,1,CWE-121
BIN_1053289,0,
BIN_1053585,0,
BIN_1053612,0,
BIN_1054623,0,
BIN_1056899,1,CWE-590
BIN_1056970,1,CWE-023
BIN_1057451,1,CWE-416
BIN_1058226,0,
BIN_1058354,0,
BIN_1062149,0,
BIN_1062334,0,
BIN_1063034,0,
BIN_1064481,0,
BIN_1066506,1,CWE-121
BIN_1066823,0,
BIN_1067136,1,CWE-590
BIN_1068651,1,CWE-194
BIN_1069973,0,
BIN_1070685,0,
BIN_1076324,0,
BIN_1077003,1,CWE-124
BIN_1078223,0,
BIN_1081147,0,
BIN_1082177,1,CWE-758
BIN_1082308,0,
BIN_1084248,0,
BIN_1087507,0,
BIN_1088073,0,
BIN_1088464,0,
BIN_1090424,0,
BIN_1092505,0,
BIN_1094186,0,
BIN_1094428,0,
BIN_1094598,1,CWE-546
BIN_1094747,0,
BIN_1094967,1,CWE-758
BIN_1097966,0,
BIN_1098375,1,CWE-401
BIN_1098633,1,CWE-194
BIN_1098653,0,
BIN_1099174,0,
BIN_1102357,0,
BIN_1103367,0,
BIN_1104986,0,
BIN_1105346,0,
BIN_1105442,1,CWE-415
BIN_1105951,1,CWE-121
BIN_1106965,1,CWE-122
BIN_1108393,1,CWE-126
BIN_1108457,1,CWE-401
BIN_1108480,1,CWE-563
BIN_1109819,1,CWE-590
BIN_1110303,0,
BIN_1110344,0,
BIN_1110912,0,
BIN_1111592,1,CWE-121
BIN_1114206,0,
BIN_1115713,1,CWE-122
BIN_1116613,0,
BIN_1119680,0,
BIN_1120854,0,
BIN_1120936,0,
BIN_1121358,0,
BIN_1122859,1,CWE-762
BIN_1124071,1,CWE-078
BIN_1124521,0,
BIN_1125206,0,
BIN_1125390,1,CWE-590
BIN_1125745,0,
BIN_1126357,0,
BIN_1129790,0,
BIN_1130222,0,
BIN_1130393,0,
BIN_1133138,1,CWE-563
BIN_1134349,1,CWE-122
