binary_id,label,cwe_id
BIN_1000013,1,CWE-590
BIN_1000205,1,CWE-190
BIN_1000508,0,
BIN_1000642,1,CWE-457
BIN_1001421,0,
BIN_1001608,0,
BIN_1001757,1,CWE-124
BIN_1002240,1,CWE-023
BIN_1002252,1,CWE-023
BIN_1002364,1,CWE-191
BIN_1002432,1,CWE-134
BIN_1002544,0,
BIN_1002707,1,CWE-590
BIN_1002928,1,CWE-789
BIN_1002983,1,CWE-134
BIN_1003309,0,
BIN_1004112,0,
BIN_1004217,0,
BIN_1004302,1,CWE-122
BIN_1004764,0,
BIN_1004922,1,CWE-122
BIN_1004967,0,
BIN_1004973,1,CWE-190
BIN_1005174,0,
BIN_1005329,1,CWE-590
BIN_1005703,1,CWE-681
BIN_1005754,1,CWE-023
BIN_1005908,0,
BIN_1005924,1,CWE-191
BIN_1005992,1,CWE-253
BIN_1006216,1,CWE-121
BIN_1007117,1,CWE-762
BIN_1007163,1,CWE-191
BIN_1007168,1,CWE-078
BIN_1007213,0,
BIN_1007904,0,
BIN_1008001,1,CWE-036
BIN_1008501,1,CWE-195
BIN_1009046,1,CWE-121
BIN_1009306,0,
BIN_1009656,0,
BIN_1009819,1,CWE-078
BIN_1010144,1,CWE-457
BIN_1010276,1,CWE-127
BIN_1010833,1,CWE-023
BIN_1011044,0,
BIN_1011193,1,CWE-401
BIN_1011533,0,
BIN_1011702,0,
BIN_1011845,0,
BIN_1012117,1,CWE-457
BIN_1012298,1,CWE-126
BIN_1012424,1,CWE-415
BIN_1012979,1,CWE-122
BIN_1013094,0,
BIN_1013101,1,CWE-191
BIN_1013454,0,
BIN_1013518,1,CWE-078
BIN_1013990,0,
BIN_1014014,0,
BIN_1014290,1,CWE-191
BIN_1014327,0,
BIN_1014470,1,CWE-762
BIN_1014587,0,
BIN_1014667,0,
BIN_1014986,0,
BIN_1015054,0,
BIN_1015095,1,CWE-122
BIN_1015835,0,
BIN_1015900,1,CWE-789
BIN_1016030,1,CWE-122
